window,300ms,300ms_std,600ms,600ms_std,800ms,800ms_std,1000ms,1000ms_std
100,0.99962021,0.00023242,0.99791975,0.00031016,0.99168152,0.00079725,0.9781116,0.00158756
500,0.99967268,0.00028406000,0.99815898,0.00021442000,0.99221268,0.0006952,0.97897741,0.00172919000
1000,0.99976136,0.00012992000,0.99815274,0.00027482000,0.99279012,0.00061955,0.98009371,0.00187918000
1500,0.99967858,0.00032254000,0.99790995,0.00027157000,0.99235846,0.00091116,0.98076527,0.00128422000
2000,0.99968462,0.00024268,0.99806542,0.00034625,0.99252198,0.00053195,0.98053895,0.00204371
